slug,game_name,iframe_url,image
blazin-bullfrog,Blazin' Bullfrog,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=blazinbullfrog&lang=en_GB&practice=1&channel=desktop&demo=2,blazin'-bullfrog.webp
blinged,Blinged,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=blinged&lang=en_GB&practice=1&channel=desktop&demo=2,blinged.webp
boat-bonanza,Boat Bonanza,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=boatbonanza&lang=en_GB&practice=1&channel=desktop&demo=2,boat-bonanza.webp
boat-bonanza-christmas,Boat Bonanza Christmas,https://released.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=xmasboatbonanza&lang=en_GB&practice=1&channel=desktop&demo=2,boat-bonanza-christmas.webp
boat-bonanza-colossal-catch,Boat Bonanza Colossal Catch,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=colossalcatch&lang=en_GB&practice=1&channel=desktop&demo=2,boat-bonanza-colossal-catch.webp
boat-bonanza-down-under,Boat Bonanza Down Under,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=bonanzadownunder&lang=en_GB&practice=1&channel=desktop&demo=2,boat-bonanza-down-under.webp
bugs-party,Bugs Party,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=bugsparty&lang=en_GB&practice=1&channel=desktop&demo=2,bugs-party.webp
buildin-bucks,Buildin' Bucks,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=buildinbucks&lang=en_GB&practice=1&channel=desktop&demo=2,buildin’-bucks-.webp
bull-in-a-china-shop,Bull in a China Shop,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=bullinachinashop&lang=en_GB&practice=1&channel=desktop&demo=2,bull-in-a-china-shop.webp
bull-in-a-rodeo,Bull in a Rodeo,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=bullinarodeo&lang=en_GB&practice=1&channel=desktop&demo=2,bull-in-a-rodeo.webp
canine-carnage,Canine Carnage,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=caninecarnage&lang=en_GB&practice=1&channel=desktop&demo=2,canine-carnage.webp
captain-glum-pirate-hunter,Captain Glum: Pirate Hunter,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=piratehunter&lang=en_GB&practice=1&channel=desktop&demo=2,captain-glum--pirate-hunter.webp
captain-xeno-s-earth-adventure,Captain Xeno's Earth Adventure,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=captxenosadventure&lang=en_GB&practice=1&channel=desktop&demo=2,captain-xeno’s-earth-adventure.webp
cash-of-command,Cash of Command,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=cashofcommand&lang=en_GB&practice=1&channel=desktop&demo=2,cash-of-command.webp
cash-pump,Cash Pump,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=cashpump&lang=en_GB&practice=1&channel=desktop&demo=2,cash-pump.webp
cash-vandal,Cash Vandal,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=cashvandal&lang=en_GB&practice=1&channel=desktop&demo=2,cash-vandal.webp
cash-a-cabana,Cash-a-Cabana,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=cashacabana&lang=en_GB&practice=1&channel=desktop&demo=2,cash-a-cabana.webp
casino-hold-em,Casino Hold'em,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=casinoholdem&lang=en_GB&practice=1&channel=desktop&demo=2,casino-hold'em.webp
casino-stud-poker,Casino Stud Poker,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=casinostudpoker&lang=en_GB&practice=1&channel=desktop&demo=2,casino-stud-poker.webp
cat-wilde-and-the-doom-of-dead,Cat Wilde and the Doom of Dead,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=doomofdead&lang=en_GB&practice=1&channel=desktop&demo=2,cat-wilde-and-the-doom-of-dead.webp
cat-wilde-and-the-incan-quest,Cat Wilde and the Incan Quest,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=incanquest&lang=en_GB&practice=1&channel=desktop&demo=2,cat-wilde-and-the-incan-quest.webp
cat-wilde-and-the-lost-chapter,Cat Wilde and the Lost Chapter,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=lostchapter&lang=en_GB&practice=1&channel=desktop&demo=2,cat-wilde-and-the-lost-chapter.webp
cat-wilde-and-the-pyramids-of-dead,Cat Wilde and the Pyramids of Dead,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=pyramidsofdead&lang=en_GB&practice=1&channel=desktop&demo=2,cat-wilde-and-the-pyramids-of-dead.webp
cat-wilde-in-the-eclipse-of-the-sun-god,Cat Wilde in the Eclipse of the Sun God,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=catwildeeclipse&lang=en_GB&practice=1&channel=desktop&demo=2,cat-wilde-in-the-eclipse-of-the-sun-god.webp
cats-and-cash,Cats and Cash,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=catsandcash&lang=en_GB&practice=1&channel=desktop&demo=2,cats-and-cash.webp
celebration-of-wealth,Celebration of Wealth,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=celebrationofwealth&lang=en_GB&practice=1&channel=desktop&demo=2,celebration-of-wealth.webp
chambers-of-ancients,Chambers of Ancients,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=chambersofancients&lang=en_GB&practice=1&channel=desktop&demo=2,chambers-of-ancients.webp
champions-of-mithrune,Champions of Mithrune,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=championsofmithrune&lang=en_GB&practice=1&channel=desktop&demo=2,champions-of-mithrune.webp
